都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,ユーゴスラヴィア,アルメニア,アゼルバイジャン,グルジア,スロベニア,スロバキア,"ボスニア・
ヘルツェゴビナ","セルビア・
モンテネグロ",セルビア,モンテネグロ,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジプチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,南スーダン,スワジランド,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,"セントクリストファー・
ネーヴィス","トリニダード・
トバゴ",米国,グレナダ,"アンティグア・
バーブーダ",南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
17,10839,9016,6,0,20,0,0,52,0,2,7,4978,78,0,0,79,349,16,0,1,1,1855,0,4,2,53,31,0,0,40,26,625,0,4,0,6,193,3,579,6,0,308,0,4,5,1,4,0,4,5,0,5,28,29,1,7,0,10,14,1,0,0,1,0,1,0,0,0,0,1,1,8,0,23,61,0,9,2,3,0,0,67,6,0,0,0,1,0,0,5,0,0,1,0,0,88,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,1,1,0,5,0,7,0,1,1,0,0,0,0,0,0,0,0,4,3,5,50,0,0,0,0,309,0,0,0,42,0,1,0,0,0,0,0,1,1,13,1,0,0,0,0,1,249,0,0,1060,7,4,966,1,6,0,0,6,67,0,1,2,58,35,1,0,0,0,18,0,0,0,1,3,0,0,0,0
18,12202,9072,9,0,4,0,0,20,0,1,7,4256,25,0,1,5,124,5,1,1,0,2981,0,3,0,49,14,0,1,14,8,1167,0,0,0,2,197,2,175,0,0,151,0,0,0,0,1,0,1,0,0,2,8,11,1,1,0,5,2,0,1,0,0,1,0,0,0,1,0,1,2,2,2,5,67,0,2,0,1,0,0,22,7,3,0,0,0,0,0,2,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,14,2,0,0,0,0,179,1,0,0,32,0,1,0,0,1,0,0,0,3,1,0,1,0,0,0,1,138,0,0,2763,1,0,2684,1,3,0,0,0,74,0,0,0,11,7,0,0,0,0,4,0,0,0,0,0,0,0,0,4
19,14388,9859,2,0,6,0,0,27,1,2,65,3839,268,1,0,289,168,53,0,0,0,2160,0,15,0,72,39,0,0,73,18,1814,0,0,0,6,636,5,300,0,0,185,1,1,2,0,0,0,2,0,0,1,30,15,1,0,0,9,5,0,0,0,0,0,0,0,0,0,0,3,0,2,5,4,20,0,2,4,3,0,0,71,2,2,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,1,0,0,4,1,1,0,2,0,319,0,0,0,46,1,1,0,0,0,1,0,0,2,6,0,0,0,0,0,3,259,0,0,3951,9,48,2972,6,22,0,0,23,865,1,0,5,43,28,1,0,0,0,13,0,0,0,0,1,0,0,0,2
20,31788,23161,0,0,25,0,1,52,0,16,160,10436,332,0,0,49,724,48,2,2,1,4312,0,7,0,96,63,0,0,231,153,3790,1,2,2,20,2097,3,536,0,0,444,0,8,5,1,0,0,3,3,0,5,47,47,0,3,0,10,11,3,0,0,0,0,1,0,1,1,0,21,1,4,4,10,36,0,7,12,5,0,0,182,5,2,0,0,0,0,1,4,1,0,0,0,0,59,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,5,0,1,0,0,4,0,0,2,0,0,5,0,0,0,0,12,0,0,1,0,0,0,0,1,0,3,0,4,2,9,2,0,0,2,0,706,0,0,0,124,0,3,6,0,1,0,1,1,3,29,1,0,0,0,0,0,537,0,0,7172,38,152,6298,8,18,3,0,82,568,0,1,4,239,189,1,0,0,0,48,0,0,1,0,0,0,0,0,7
21,45878,32266,20,0,19,0,0,85,0,49,117,14955,72,0,4,74,314,21,0,11,1,5148,0,4,0,75,28,0,1,383,209,9014,0,0,1,4,353,48,1256,0,0,385,0,2,0,4,2,1,3,1,0,2,33,16,0,1,0,4,13,0,0,0,0,0,1,0,0,3,0,6,0,1,1,78,65,0,19,11,5,0,0,86,22,0,0,0,0,2,0,0,0,0,3,0,0,101,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,9,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0,0,3,0,0,0,2,0,2,4,2,39,0,0,0,3,501,0,0,0,99,1,1,10,0,0,3,0,2,0,35,0,0,0,0,0,1,349,0,0,12516,28,53,11531,4,10,4,0,19,863,0,0,4,108,80,0,0,0,0,25,0,0,0,1,1,0,0,1,1
22,77353,39328,6,1,391,0,2,168,1,21,305,12784,286,0,0,526,1788,70,0,4,2,5958,0,166,0,160,39,0,3,454,335,12358,0,0,5,40,1137,24,2294,0,0,800,1,3,10,5,5,2,5,10,5,5,77,55,2,8,0,17,34,2,0,1,0,0,2,0,0,1,0,12,1,18,7,82,124,0,22,15,13,0,0,212,28,3,0,0,2,0,0,6,0,1,4,0,0,100,2,0,0,7,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,3,0,1,0,1,35,0,0,8,0,0,5,0,0,0,4,0,2,3,3,7,0,0,6,0,1127,2,0,0,168,4,7,5,0,7,3,0,2,16,62,1,3,0,0,0,3,844,0,0,35788,280,303,29668,20,241,5,1,248,4986,0,25,11,198,116,2,0,0,5,69,0,1,2,0,1,0,0,2,12
23,195970,129421,185,0,463,4,4,407,0,104,765,46952,967,0,1,782,2643,190,3,22,19,37405,1,60,2,415,297,0,1,2387,1140,26248,4,18,35,71,1964,678,5177,1,6,2486,7,19,37,13,32,6,13,6,1,23,279,186,7,38,1,34,116,5,8,1,1,3,10,0,1,13,3,34,11,64,28,216,220,0,71,41,27,1,1,626,121,117,0,2,2,1,2,21,1,3,12,0,1,671,13,5,2,8,0,0,1,17,0,0,2,0,13,4,0,75,9,6,0,3,31,0,1,3,0,1,30,4,1,3,3,154,0,1,16,3,0,2,0,0,1,23,0,14,89,49,70,2,5,6,1,2971,1,2,1,436,7,10,31,0,5,5,0,7,25,126,2,2,1,0,0,2,2308,0,0,59720,349,983,50533,66,258,14,1,255,7219,1,12,29,676,473,10,1,0,2,176,1,3,0,1,6,0,0,3,25
24,42879,24433,45,0,95,0,0,64,0,15,200,9241,139,0,0,60,736,26,1,1,1,5564,0,6,0,75,68,0,1,347,151,5388,0,0,5,13,993,24,1174,0,0,297,5,1,2,2,0,0,1,0,0,2,27,32,3,7,1,8,13,0,1,0,0,0,1,0,0,4,0,6,5,2,3,19,35,0,20,5,5,0,0,74,8,0,0,0,0,0,0,1,0,1,2,0,1,95,1,0,0,1,1,0,0,5,0,0,0,0,0,0,0,10,0,0,0,3,7,0,0,0,3,0,2,0,0,0,1,25,0,0,1,0,0,2,0,0,0,3,0,1,8,6,10,2,0,3,0,395,0,0,0,71,3,1,2,0,0,1,0,0,9,26,0,0,0,0,0,4,277,0,1,17546,53,903,13324,25,19,2,0,52,3159,0,0,9,107,68,3,0,0,0,32,0,0,2,0,2,0,0,0,6
25,24809,13776,8,0,6,0,0,36,0,26,21,4904,63,0,0,65,339,9,0,1,0,5436,0,15,0,71,40,0,0,80,12,1888,0,0,0,14,219,4,519,0,0,268,0,2,4,0,0,0,0,1,1,4,39,33,2,4,0,2,13,3,1,0,0,0,1,0,0,0,1,1,1,10,1,8,21,0,5,5,8,0,0,73,2,21,0,0,0,0,0,0,0,0,1,0,0,39,1,0,1,1,0,0,0,1,0,0,0,0,10,0,0,1,2,0,0,0,3,1,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,460,0,0,0,59,2,1,2,0,3,1,1,6,2,29,0,1,0,0,0,0,353,0,0,10175,32,252,8166,6,24,1,0,35,1648,0,1,10,85,51,0,2,0,1,30,0,0,0,0,1,0,0,0,6
26,52096,47384,38,0,47,2,3,87,1,43,85,11970,749,2,3,308,387,81,4,27,5,29992,1,12,1,155,80,1,1,284,66,1906,0,11,11,48,482,37,449,4,1,1924,0,15,31,16,5,9,10,19,1,42,381,226,7,27,3,27,124,18,5,1,2,4,7,0,0,2,4,36,9,21,8,31,182,0,77,79,39,6,0,393,24,10,0,0,6,4,2,4,1,2,4,0,0,227,4,0,2,4,0,0,0,4,0,0,0,1,6,0,1,9,2,1,0,0,12,0,3,3,5,0,9,1,0,1,1,10,0,0,3,0,0,9,0,1,0,6,0,5,3,21,85,4,5,1,5,1568,0,0,0,264,1,2,8,1,1,1,0,4,12,59,2,0,0,0,0,2,1211,0,0,620,21,81,339,13,14,3,0,7,135,0,2,5,360,266,0,0,1,0,84,0,1,0,1,7,0,0,0,13
27,203288,190867,35,1,111,2,3,161,1,41,212,50585,2460,1,3,883,1296,178,3,38,13,120889,0,44,3,402,220,2,3,951,241,6016,2,99,14,129,1806,159,3857,2,1,3161,4,36,40,38,17,6,11,25,2,50,405,235,12,29,5,59,197,14,11,0,1,7,7,0,0,10,3,57,11,65,27,144,367,0,140,80,64,1,10,803,106,23,0,1,6,4,4,15,4,2,3,0,0,619,8,0,3,11,0,0,7,15,0,1,3,0,9,1,2,112,4,1,0,6,31,1,0,5,7,1,28,0,4,1,1,146,1,1,10,2,0,23,1,0,0,19,3,26,5,20,91,2,2,3,2,3358,1,2,0,651,5,14,12,0,2,8,4,2,21,107,0,5,1,0,0,4,2518,0,1,4236,34,156,2709,31,107,8,0,25,1146,3,3,14,987,732,10,0,3,2,218,0,3,2,1,10,1,0,5,60
28,97164,87186,32,0,72,0,0,59,2,23,110,24340,749,1,0,1475,795,67,2,28,4,49167,0,119,20,182,59,8,2,566,180,3494,0,20,23,133,684,54,4709,3,4,2326,2,15,40,22,6,2,4,36,3,47,306,247,24,13,7,53,116,14,6,0,0,3,4,0,0,2,2,43,59,44,34,44,215,0,88,42,58,2,2,620,56,10,0,2,2,2,3,7,3,0,16,0,0,309,15,0,0,10,2,0,1,11,0,0,0,0,3,0,0,24,2,1,0,3,6,0,3,4,0,0,20,0,3,2,1,73,0,0,3,0,0,7,0,0,1,16,0,11,13,16,50,2,3,3,0,2793,1,0,0,473,3,8,13,0,2,6,1,2,17,55,3,2,1,0,0,4,2202,0,0,3863,54,110,2706,16,40,9,0,32,884,0,1,11,631,443,2,1,1,2,174,0,2,5,1,0,0,0,0,56
29,11137,9444,6,0,37,0,0,33,2,9,33,3359,160,0,0,59,185,19,0,0,0,4336,0,9,0,50,25,0,0,87,33,561,0,1,0,15,184,6,235,0,0,337,1,4,8,3,0,1,1,0,1,3,43,35,0,5,0,7,17,2,2,0,1,1,0,0,0,0,0,3,8,9,2,11,26,0,24,6,11,0,0,93,6,0,0,0,0,0,2,1,0,0,0,0,0,55,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,10,0,0,0,0,0,2,0,0,0,0,10,0,1,1,0,0,1,0,0,0,0,0,1,1,11,7,0,0,0,0,431,0,0,0,76,4,0,5,0,3,0,0,5,1,17,2,1,0,0,0,0,317,0,0,781,3,42,508,4,8,2,0,8,204,0,0,2,85,54,0,0,0,1,26,0,2,0,0,2,0,0,0,4
30,5791,5315,0,0,6,0,0,5,0,4,1,1419,47,0,0,19,83,3,0,1,0,2593,0,4,0,27,7,0,0,31,3,576,0,0,1,3,400,6,76,0,0,135,0,0,2,1,1,1,0,2,0,2,22,8,1,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,2,13,0,2,14,0,4,2,2,0,0,37,10,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,191,0,0,0,22,0,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,162,0,0,86,1,0,70,0,0,0,0,2,12,0,0,1,50,33,0,0,0,0,17,0,0,0,0,0,0,0,0,3
31,3947,3614,0,0,6,0,0,9,1,3,4,1567,22,0,0,25,60,0,0,1,0,1194,0,3,0,20,23,0,0,11,24,463,0,0,0,2,78,1,97,0,0,105,0,1,2,0,1,0,0,0,0,2,9,4,2,3,0,2,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,7,32,0,2,0,1,1,0,27,1,0,0,0,0,0,0,2,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,0,0,1,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,1,4,23,0,0,2,0,115,0,0,0,18,4,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,89,0,0,21,2,1,13,1,1,1,0,2,0,0,0,0,20,11,0,0,0,0,9,0,0,0,0,0,0,0,0,0
32,5486,3983,2,0,3,0,0,41,0,4,13,2029,12,0,0,15,91,0,0,0,1,814,0,2,0,7,19,0,0,6,4,831,0,0,0,3,35,0,51,0,0,89,0,0,1,0,0,4,0,3,0,2,6,9,0,0,0,4,3,2,0,0,0,0,0,0,0,1,0,2,2,0,1,2,19,0,4,0,1,0,0,20,2,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,140,0,0,0,13,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,124,0,0,1239,0,0,1233,0,2,0,0,0,4,0,0,0,19,10,0,0,0,0,9,0,0,0,0,0,0,0,0,2
33,20968,18872,8,0,13,0,0,53,0,38,20,9508,93,0,0,75,423,4,0,3,1,5975,1,9,0,119,10,0,0,100,65,1391,0,2,5,5,148,22,781,0,0,350,0,2,6,1,0,0,1,5,0,12,24,32,1,3,1,5,9,0,1,0,0,0,0,0,0,0,0,7,0,14,0,18,57,0,5,4,3,0,0,112,11,6,0,0,0,0,0,6,0,0,4,0,0,58,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,6,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,2,0,0,0,3,0,3,0,1,20,0,0,0,0,447,0,0,0,92,0,0,1,0,1,0,1,1,15,9,0,0,0,0,0,1,326,0,0,1144,9,17,959,4,2,0,0,14,138,0,0,1,92,71,2,0,0,0,18,0,1,0,0,0,0,0,0,5
34,38545,33331,2,0,29,0,0,82,1,54,76,14553,114,1,2,181,805,12,1,2,3,9906,0,48,1,88,47,0,0,142,26,4946,0,3,19,21,644,9,1511,1,1,666,1,1,3,10,8,7,2,8,1,6,43,58,1,4,2,18,23,0,5,0,0,1,4,0,0,7,0,9,3,11,3,22,81,0,30,5,10,0,0,187,80,2,0,0,0,0,0,6,0,0,1,2,1,130,3,0,1,3,0,0,0,2,0,0,0,0,2,0,1,10,1,0,0,0,17,1,0,0,0,0,1,1,0,2,0,11,0,2,1,1,0,0,0,0,0,4,0,1,0,17,44,0,3,1,0,849,0,0,1,113,1,1,5,0,2,1,2,4,9,48,0,0,1,0,0,1,660,0,0,3390,11,12,2710,1,10,2,0,12,622,0,1,9,162,96,1,0,0,0,55,0,4,0,1,4,0,0,1,17
35,13495,12685,11,0,2,0,0,34,0,3,9,3613,53,0,1,58,259,4,0,1,0,7082,0,7,0,76,11,0,1,62,6,1003,0,2,0,10,98,7,272,0,0,183,0,2,0,4,1,0,0,2,3,3,11,12,0,0,0,3,7,0,0,0,0,0,0,0,1,0,0,4,2,2,1,10,26,0,17,2,1,0,0,55,12,0,0,1,0,0,0,0,0,0,1,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,2,2,9,0,0,0,0,395,0,0,0,40,3,0,1,0,0,0,0,0,5,5,2,0,0,0,0,0,339,0,0,174,1,1,141,2,4,1,0,4,20,0,0,0,28,17,1,0,0,1,7,0,0,1,0,0,0,0,1,1
36,4981,4499,1,0,9,0,0,18,0,2,7,2916,16,0,1,25,141,2,0,2,0,370,1,0,0,37,66,0,0,20,14,644,0,0,1,0,82,1,123,0,0,113,0,1,1,1,1,0,0,0,0,2,7,11,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,3,1,2,1,15,20,0,1,2,0,0,0,28,5,3,0,0,0,0,0,1,0,0,1,0,0,71,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,2,0,0,0,5,0,0,1,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,9,40,0,1,0,0,191,0,0,0,48,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,138,0,0,65,0,1,48,1,3,0,0,1,11,0,0,0,41,28,3,0,0,0,8,0,0,0,0,0,0,0,2,1
